[CV] .... kernel=rbf, C=25.1188643151, gamma=0.00116591440118 -  25.2s
[CV] kernel=rbf, C=25.1188643151, gamma=0.00158489319246 .............
[CV] .... kernel=rbf, C=25.1188643151, gamma=0.00158489319246 -  29.4s
[CV] kernel=rbf, C=25.1188643151, gamma=0.00215443469003 .............
[CV] .... kernel=rbf, C=25.1188643151, gamma=0.00215443469003 -  32.3s
[CV] kernel=rbf, C=25.1188643151, gamma=0.00398107170553 .............
[CV] .... kernel=rbf, C=25.1188643151, gamma=0.00398107170553 -  52.7s
[CV] kernel=rbf, C=25.1188643151, gamma=0.00541169526546 .............
[CV] .... kernel=rbf, C=25.1188643151, gamma=0.00541169526546 - 1.1min
[CV] kernel=rbf, C=25.1188643151, gamma=0.0073564225446 ..............
[CV] ..... kernel=rbf, C=25.1188643151, gamma=0.0073564225446 - 1.3min
[CV] kernel=rbf, C=34.1454887383, gamma=0.0001 .......................
[CV] .............. kernel=rbf, C=34.1454887383, gamma=0.0001 -  17.0s
[CV] kernel=rbf, C=34.1454887383, gamma=0.0001 .......................
[CV] .............. kernel=rbf, C=34.1454887383, gamma=0.0001 -  17.1s
[CV] kernel=rbf, C=34.1454887383, gamma=0.000135935639088 ............
[CV] ... kernel=rbf, C=34.1454887383, gamma=0.000135935639088 -  16.4s
[CV] kernel=rbf, C=34.1454887383, gamma=0.000184784979742 ............
[CV] ... kernel=rbf, C=34.1454887383, gamma=0.000184784979742 -  16.6s
[CV] kernel=rbf, C=34.1454887383, gamma=0.000251188643151 ............
[CV] ... kernel=rbf, C=34.1454887383, gamma=0.000251188643151 -  17.4s
[CV] kernel=rbf, C=34.1454887383, gamma=0.000341454887383 ............
[CV] ... kernel=rbf, C=34.1454887383, gamma=0.000341454887383 -  17.1s
[CV] kernel=rbf, C=34.1454887383, gamma=0.00063095734448 .............
[CV] .... kernel=rbf, C=34.1454887383, gamma=0.00063095734448 -  20.6s
[CV] kernel=rbf, C=34.1454887383, gamma=0.000857695898591 ............
[CV] ... kernel=rbf, C=34.1464158883361 -  19.0s
[CV] kernel=rbf, C=18.4784979742, gamma=0.00063095734448 .............
[CV] .... kernel=rbf, C=18.4784979742, gamma=0.00063095734448 -  21.5s
[CV] kernel=rbf, C=18.4784979742, gamma=0.000857695898591 ............
[CV] ... kernel=rbf, C=18.4784979742, gamma=0.000857695898591 -  21.7s
[CV] kernel=rbf, C=18.4784979742, gamma=0.00158489319246 .............
[CV] .... kernel=rbf, C=18.4784979742, gamma=0.00158489319246 -  28.6s
[CV] kernel=rbf, C=18.4784979742, gamma=0.00215443469003 .............
[CV] .... kernel=rbf, C=18.4784979742, gamma=0.00215443469003 -  34.1s
[CV] kernel=rbf, C=18.4784979742, gamma=0.00292864456463 .............
[CV] .... kernel=rbf, C=18.4784979742, gamma=0.00292864456463 -  40.3s
[CV] kernel=rbf, C=18.4784979742, gamma=0.00541169526546 .............
[CV] .... kernel=rbf, C=18.4784979742, gamma=0.00541169526546 - 1.1min
[CV] kernel=rbf, C=18.4784979742, gamma=0.0073564225446 ..............
[CV] ..... kernel=rbf, C=18.4784979742, gamma=0.0073564225446 - 1.3min
[CV] kernel=rbf, C=18.4784979742, gamma=0.01 .........................
[CV] ................ kernel=rbf, C=18.4784979742, gamma=0.01 - 1.4min
[CV] kernel=rbf, C=25.1188643151, gamma=0.000251188643151 ............
[CV] ... kernel=rbf, C=25.1188643151, gamma=0.000251188643151 -  17.3s
[CV] kernel=rbf, C=25.1188643151, gamma=0.000341454887383 ............
[CV] ... kernel=rbf, C=25.1188643151, gamma=0.000341454887383 -  18.2s
[CV] kernel=rbf, C=25.1188643151, gamma=0.000464158883361 ............
[CV] ... kernel=rbf, C=25.1188643151, gamma=0.000464158883361 -  18.1s
[CV] kernel=rbf, C=25.1188643151, gamma=0.000857695898591 ............
[CV] ... kernel=rbf, C=25.1188643151, gamma=0.000857695898591 -  22.8s
[CV] kernel=rbf, C=25.1188643151, gamma=0.00116591440118 .............
[CV] .... kernel=rbf, C=25.1188643151, gamma=0.00116591440118 -  25.6s
[CV] kernel=rbf, C=25.1188643151, gamma=0.00158489319246 .............
[CV] .... kernel=rbf, C=25.1188643151, gamma=0.00158489319246 -  28.2s
[CV] kernel=rbf, C=25.1188643151, gamma=0.00292864456463 .............
[CV] .... kernel=rbf, C=25.1188643151, gamma=0.00292864456463 -  40.7s
[CV] kernel=rbf, C=25.1188643151, gamma=0.00398107170553 .............
[CV] .... kernel=rbf, C=25.1188643151, gamma=0.00398107170553 -  54.4s
[CV] kernel=rbf, C=25.1188643151, gamma=0.00541169526546 .............
[CV] .... kernel=rbf, C=25.1188643151, gamma=0.00541169526546 - 1.1min
[CV] kernel=rbf, C=25.1188643151, gamma=0.01 .........................
[CV] ................ kernel=rbf, C=25.1188643151, gamma=0.01 - 1.4min
[CV] kernel=rbf, C=34.1454887383, gamma=0.0001 .......................
[CV] .............. kernel=rbf, C=34.1454887383, gamma=0.0001 -  16.4s
[CV] kernel=rbf, C=34.1454887383, gamma=0.000135935639088 ............
[CV] ... kernel=rbf, C=34.1454887383, gamma=0.000135935639088 -  16.7s
[CV] kernel=rbf, C=34.1454887383, gamma=0.000184784979742 ............
[CV] ... kernel=rbf, C=34.1454887383, gamma=0.000184784979742 -  16.8s
[CV] kernel=rbf, C=34.1454887383, gamma=0.000251188643151 ............
[CV] ... kernel=rbf, C=34.1454887383, gamma=0.000251188643151 -  16.6s
[CV] kernel=rbf, C=34.1454887383, gamma=0.000464158883361 ............
[CV] ... kernel=rbf, C=34.1454887383, gamma=0.000464158883361 -  18.7s
[CV] kernel=rbf, C=34.1454887383, gamma=0.00063095734448 .............
[CV] .... kernel=rbf, C=34.1454887383, gamma=0.00063095734448 -  20.6s
[CV] kernel=rbf, C=34.1454887383, gamma=0.000857695898591 ............
[CV] ... kernel=rbf, C=34.1454887383, gamma=0.000857695898591 -  21.5s
[CV] kernel=rbf, C=34.1454887383, gamma=0.00158489319246 .............
[CV] .... kernel=rbf, C=34.1454887383, gamma=0.00158489319246 -  28.4s
[CV] kernel=rbf, C=34.1454887383, gamma=0.00215443469003 .............
[CV] .... kernel=rbf, C=34.1454887383, gamma=0.00215443469003 -  33.6s
[CV] kernel=rbf, C=34.1454887383, gamma=0.00292864456463 .............
[CV] .... kernel=rbf, C=34.1454887383, gamma=0.00292864456463 -  39.5s
[CV] kernel=rbf, C=34.1454887383, gamma=0.00541169526546 .............
[CV] .... kernel=rbf, C=34.116591440118 -  25.0s
[CV] kernel=rbf, C=18.4784979742, gamma=0.00158489319246 .............
[CV] .... kernel=rbf, C=18.4784979742, gamma=0.00158489319246 -  29.4s
[CV] kernel=rbf, C=18.4784979742, gamma=0.00215443469003 .............
[CV] .... kernel=rbf, C=18.4784979742, gamma=0.00215443469003 -  32.5s
[CV] kernel=rbf, C=18.4784979742, gamma=0.00398107170553 .............
[CV] .... kernel=rbf, C=18.4784979742, gamma=0.00398107170553 -  52.1s
[CV] kernel=rbf, C=18.4784979742, gamma=0.00541169526546 .............
[CV] .... kernel=rbf, C=18.4784979742, gamma=0.00541169526546 - 1.2min
[CV] kernel=rbf, C=18.4784979742, gamma=0.0073564225446 ..............
[CV] ..... kernel=rbf, C=18.4784979742, gamma=0.0073564225446 - 1.3min
[CV] kernel=rbf, C=25.1188643151, gamma=0.0001 .......................
[CV] .............. kernel=rbf, C=25.1188643151, gamma=0.0001 -  17.7s
[CV] kernel=rbf, C=25.1188643151, gamma=0.0001 .......................
[CV] .............. kernel=rbf, C=25.1188643151, gamma=0.0001 -  17.5s
[CV] kernel=rbf, C=25.1188643151, gamma=0.000135935639088 ............
[CV] ... kernel=rbf, C=25.1188643151, gamma=0.000135935639088 -  17.1s
[CV] kernel=rbf, C=25.1188643151, gamma=0.000184784979742 ............
[CV] ... kernel=rbf, C=25.1188643151, gamma=0.000184784979742 -  17.3s
[CV] kernel=rbf, C=25.1188643151, gamma=0.000251188643151 ............
